name,slug,draft_year,draft_pick,season,team_id,lg_id,pos
Hawkeye Whitney,whitnha02,1980,16,1980-81,KCK,NBA,SG
Hawkeye Whitney,whitnha02,1980,16,1981-82,KCK,NBA,SG
Larry Drew,drewla01,1980,17,1980-81,DET,NBA,PG
Larry Drew,drewla01,1980,17,1981-82,KCK,NBA,PG
Larry Drew,drewla01,1980,17,1982-83,KCK,NBA,PG
Larry Drew,drewla01,1980,17,1983-84,KCK,NBA,PG
Larry Drew,drewla01,1980,17,1984-85,KCK,NBA,PG
Larry Drew,drewla01,1980,17,1985-86,SAC,NBA,PG
Larry Drew,drewla01,1980,17,1986-87,LAC,NBA,PG
Larry Drew,drewla01,1980,17,1987-88,LAC,NBA,PG
Larry Drew,drewla01,1980,17,1989-90,LAL,NBA,PG
Larry Drew,drewla01,1980,17,1990-91,LAL,NBA,PG
Don Collins,collido02,1980,18,1980-81,TOT,NBA,SF
Don Collins,collido02,1980,18,1981-82,WSB,NBA,SG
Don Collins,collido02,1980,18,1982-83,WSB,NBA,SF
Don Collins,collido02,1980,18,1983-84,GSW,NBA,SG
Don Collins,collido02,1980,18,1984-85,WSB,NBA,SG
Don Collins,collido02,1980,18,1986-87,MIL,NBA,SF
John Duren,durenjo01,1980,19,1980-81,UTA,NBA,PG
John Duren,durenjo01,1980,19,1981-82,UTA,NBA,PG
John Duren,durenjo01,1980,19,1982-83,IND,NBA,PG
Bill Hanzlik,hanzlbi01,1980,20,1980-81,SEA,NBA,SF
Bill Hanzlik,hanzlbi01,1980,20,1981-82,SEA,NBA,SF
Bill Hanzlik,hanzlbi01,1980,20,1982-83,DEN,NBA,SF
Bill Hanzlik,hanzlbi01,1980,20,1983-84,DEN,NBA,SF
Bill Hanzlik,hanzlbi01,1980,20,1984-85,DEN,NBA,SF
Bill Hanzlik,hanzlbi01,1980,20,1985-86,DEN,NBA,SF
Bill Hanzlik,hanzlbi01,1980,20,1986-87,DEN,NBA,PF
Bill Hanzlik,hanzlbi01,1980,20,1987-88,DEN,NBA,SF
Bill Hanzlik,hanzlbi01,1980,20,1988-89,DEN,NBA,PF
Bill Hanzlik,hanzlbi01,1980,20,1989-90,DEN,NBA,PF
Monti Davis,davismo01,1980,21,1980-81,TOT,NBA,PF
Chad Kinch,kinchch01,1980,22,1980-81,TOT,NBA,SG
Carl Nicks,nicksca01,1980,23,1980-81,TOT,NBA,PG
Carl Nicks,nicksca01,1980,23,1981-82,UTA,NBA,SG
Carl Nicks,nicksca01,1980,23,1982-83,CLE,NBA,SG
Larry Smith,smithla01,1980,24,1980-81,GSW,NBA,PF
Larry Smith,smithla01,1980,24,1981-82,GSW,NBA,PF
Larry Smith,smithla01,1980,24,1982-83,GSW,NBA,PF
Larry Smith,smithla01,1980,24,1983-84,GSW,NBA,PF
Larry Smith,smithla01,1980,24,1984-85,GSW,NBA,PF
Larry Smith,smithla01,1980,24,1985-86,GSW,NBA,PF
Larry Smith,smithla01,1980,24,1986-87,GSW,NBA,PF
Larry Smith,smithla01,1980,24,1987-88,GSW,NBA,PF
Larry Smith,smithla01,1980,24,1988-89,GSW,NBA,PF
Larry Smith,smithla01,1980,24,1989-90,HOU,NBA,PF
Larry Smith,smithla01,1980,24,1990-91,HOU,NBA,PF
Larry Smith,smithla01,1980,24,1991-92,HOU,NBA,PF
Larry Smith,smithla01,1980,24,1992-93,SAS,NBA,PF
Jeff Ruland,rulanje01,1980,25,1981-82,WSB,NBA,C
Jeff Ruland,rulanje01,1980,25,1982-83,WSB,NBA,C
Jeff Ruland,rulanje01,1980,25,1983-84,WSB,NBA,C
Jeff Ruland,rulanje01,1980,25,1984-85,WSB,NBA,C
Jeff Ruland,rulanje01,1980,25,1985-86,WSB,NBA,PF
Jeff Ruland,rulanje01,1980,25,1986-87,PHI,NBA,PF
Jeff Ruland,rulanje01,1980,25,1991-92,PHI,NBA,C
Jeff Ruland,rulanje01,1980,25,1992-93,DET,NBA,C
Sam Worthen,worthsa01,1980,26,1980-81,CHI,NBA,PG
Sam Worthen,worthsa01,1980,26,1981-82,UTA,NBA,PG
John Stroud,stroujo01,1980,27,1980-81,HOU,NBA,SF
Craig Shelton,sheltcr01,1980,28,1980-81,ATL,NBA,SF
Craig Shelton,sheltcr01,1980,28,1981-82,ATL,NBA,SF
Louis Orr,orrlo01,1980,29,1980-81,IND,NBA,SF
Louis Orr,orrlo01,1980,29,1981-82,IND,NBA,SF
Louis Orr,orrlo01,1980,29,1982-83,NYK,NBA,SF
Louis Orr,orrlo01,1980,29,1983-84,NYK,NBA,SF
Louis Orr,orrlo01,1980,29,1984-85,NYK,NBA,PF
Louis Orr,orrlo01,1980,29,1985-86,NYK,NBA,SF
Louis Orr,orrlo01,1980,29,1986-87,NYK,NBA,SF
Louis Orr,orrlo01,1980,29,1987-88,NYK,NBA,SF
Kenny Natt,nattke01,1980,30,1980-81,IND,NBA,SG
Kenny Natt,nattke01,1980,30,1982-83,UTA,NBA,SG
Kenny Natt,nattke01,1980,30,1984-85,TOT,NBA,SG
Wayne Robinson,robinwa01,1980,31,1980-81,DET,NBA,PF
Rick Mahorn,mahorri01,1980,35,1980-81,WSB,NBA,PF
Rick Mahorn,mahorri01,1980,35,1981-82,WSB,NBA,PF
Rick Mahorn,mahorri01,1980,35,1982-83,WSB,NBA,PF
Rick Mahorn,mahorri01,1980,35,1983-84,WSB,NBA,PF
Rick Mahorn,mahorri01,1980,35,1984-85,WSB,NBA,PF
Rick Mahorn,mahorri01,1980,35,1985-86,DET,NBA,PF
Rick Mahorn,mahorri01,1980,35,1986-87,DET,NBA,PF
Rick Mahorn,mahorri01,1980,35,1987-88,DET,NBA,PF
Rick Mahorn,mahorri01,1980,35,1988-89,DET,NBA,PF
Rick Mahorn,mahorri01,1980,35,1989-90,PHI,NBA,PF
Rick Mahorn,mahorri01,1980,35,1990-91,PHI,NBA,C
Rick Mahorn,mahorri01,1980,35,1992-93,NJN,NBA,PF
Rick Mahorn,mahorri01,1980,35,1993-94,NJN,NBA,PF
Rick Mahorn,mahorri01,1980,35,1994-95,NJN,NBA,PF
Rick Mahorn,mahorri01,1980,35,1995-96,NJN,NBA,C
Rick Mahorn,mahorri01,1980,35,1996-97,DET,NBA,C
Rick Mahorn,mahorri01,1980,35,1997-98,DET,NBA,C
Rick Mahorn,mahorri01,1980,35,1998-99,PHI,NBA,PF
DeWayne Scales,scalede01,1980,36,1980-81,NYK,NBA,PF
DeWayne Scales,scalede01,1980,36,1981-82,NYK,NBA,PF
DeWayne Scales,scalede01,1980,36,1983-84,WSB,NBA,PF
Butch Carter,cartebu01,1980,37,1980-81,LAL,NBA,SF
Butch Carter,cartebu01,1980,37,1981-82,IND,NBA,SG
Butch Carter,cartebu01,1980,37,1982-83,IND,NBA,SG
Butch Carter,cartebu01,1980,37,1983-84,IND,NBA,SG
Butch Carter,cartebu01,1980,37,1984-85,NYK,NBA,SG
Butch Carter,cartebu01,1980,37,1985-86,TOT,NBA,SG
Michael Wiley,wileymi01,1980,39,1980-81,SAS,NBA,PF
Michael Wiley,wileymi01,1980,39,1981-82,SDC,NBA,PF
Dick Miller,milledi01,1980,40,1980-81,TOT,NBA,SF
Jawann Oldham,oldhaja01,1980,41,1980-81,DEN,NBA,C
Jawann Oldham,oldhaja01,1980,41,1981-82,HOU,NBA,C
Jawann Oldham,oldhaja01,1980,41,1982-83,CHI,NBA,C
Jawann Oldham,oldhaja01,1980,41,1983-84,CHI,NBA,C
Jawann Oldham,oldhaja01,1980,41,1984-85,CHI,NBA,C
Jawann Oldham,oldhaja01,1980,41,1985-86,CHI,NBA,C
Jawann Oldham,oldhaja01,1980,41,1986-87,NYK,NBA,C
Jawann Oldham,oldhaja01,1980,41,1987-88,SAC,NBA,C
Jawann Oldham,oldhaja01,1980,41,1989-90,TOT,NBA,C
Jawann Oldham,oldhaja01,1980,41,1990-91,IND,NBA,C
Brad Branson,bransbr01,1980,45,1981-82,CLE,NBA,PF
Brad Branson,bransbr01,1980,45,1982-83,IND,NBA,PF
Kurt Nimphius,nimphku01,1980,47,1981-82,DAL,NBA,C
Kurt Nimphius,nimphku01,1980,47,1982-83,DAL,NBA,C
Kurt Nimphius,nimphku01,1980,47,1983-84,DAL,NBA,C
Kurt Nimphius,nimphku01,1980,47,1984-85,DAL,NBA,C
Kurt Nimphius,nimphku01,1980,47,1985-86,TOT,NBA,PF
Kurt Nimphius,nimphku01,1980,47,1986-87,TOT,NBA,PF
Kurt Nimphius,nimphku01,1980,47,1987-88,SAS,NBA,C
Kurt Nimphius,nimphku01,1980,47,1989-90,PHI,NBA,C
James Wilkes,wilkeja02,1980,50,1980-81,CHI,NBA,SF
James Wilkes,wilkeja02,1980,50,1981-82,CHI,NBA,SF
James Wilkes,wilkeja02,1980,50,1982-83,DET,NBA,SF
Ronnie Valentine,valenro01,1980,51,1980-81,DEN,NBA,SF
Lowes Moore,moorelo01,1980,52,1980-81,NJN,NBA,PG
Lowes Moore,moorelo01,1980,52,1981-82,CLE,NBA,PG
Lowes Moore,moorelo01,1980,52,1982-83,SDC,NBA,PG
Mike Harper,harpemi01,1980,56,1980-81,POR,NBA,PF
Mike Harper,harpemi01,1980,56,1981-82,POR,NBA,PF
Dave Britton,brittda01,1980,57,1980-81,WSB,NBA,PG
Kurt Rambis,rambiku01,1980,58,1981-82,LAL,NBA,PF
Kurt Rambis,rambiku01,1980,58,1982-83,LAL,NBA,PF
Kurt Rambis,rambiku01,1980,58,1983-84,LAL,NBA,PF
Kurt Rambis,rambiku01,1980,58,1984-85,LAL,NBA,PF
Kurt Rambis,rambiku01,1980,58,1985-86,LAL,NBA,PF
Kurt Rambis,rambiku01,1980,58,1986-87,LAL,NBA,PF
Kurt Rambis,rambiku01,1980,58,1987-88,LAL,NBA,PF
Kurt Rambis,rambiku01,1980,58,1988-89,CHH,NBA,PF
Kurt Rambis,rambiku01,1980,58,1989-90,TOT,NBA,PF
Kurt Rambis,rambiku01,1980,58,1990-91,PHO,NBA,PF
Kurt Rambis,rambiku01,1980,58,1991-92,PHO,NBA,PF
Kurt Rambis,rambiku01,1980,58,1992-93,TOT,NBA,PF
Kurt Rambis,rambiku01,1980,58,1993-94,LAL,NBA,PF
Kurt Rambis,rambiku01,1980,58,1994-95,LAL,NBA,PF
Rich Yonakor,yonakri01,1980,61,1981-82,SAS,NBA,PF
Carl Bailey,baileca01,1980,66,1981-82,POR,NBA,C
Darwin Cook,cookda01,1980,70,1980-81,NJN,NBA,SG
Darwin Cook,cookda01,1980,70,1981-82,NJN,NBA,PG
Darwin Cook,cookda01,1980,70,1982-83,NJN,NBA,PG
Darwin Cook,cookda01,1980,70,1983-84,NJN,NBA,PG
Darwin Cook,cookda01,1980,70,1984-85,NJN,NBA,PG
Darwin Cook,cookda01,1980,70,1985-86,NJN,NBA,PG
Darwin Cook,cookda01,1980,70,1986-87,WSB,NBA,SG
Darwin Cook,cookda01,1980,70,1988-89,TOT,NBA,SG
Rory Sparrow,sparrro01,1980,75,1980-81,NJN,NBA,PG
Rory Sparrow,sparrro01,1980,75,1981-82,ATL,NBA,PG
Rory Sparrow,sparrro01,1980,75,1982-83,TOT,NBA,PG
Rory Sparrow,sparrro01,1980,75,1983-84,NYK,NBA,PG
Rory Sparrow,sparrro01,1980,75,1984-85,NYK,NBA,PG
Rory Sparrow,sparrro01,1980,75,1985-86,NYK,NBA,PG
Rory Sparrow,sparrro01,1980,75,1986-87,NYK,NBA,PG
Rory Sparrow,sparrro01,1980,75,1987-88,TOT,NBA,PG
Rory Sparrow,sparrro01,1980,75,1988-89,MIA,NBA,PG
Rory Sparrow,sparrro01,1980,75,1989-90,MIA,NBA,PG
Rory Sparrow,sparrro01,1980,75,1990-91,SAC,NBA,PG
Rory Sparrow,sparrro01,1980,75,1991-92,TOT,NBA,PG
Tony Jackson,jacksto02,1980,87,1980-81,LAL,NBA,PG
Tony Fuller,fulleto01,1980,93,1980-81,DET,NBA,SG
Wally Rank,rankwa01,1980,99,1980-81,SDC,NBA,SF
Darrell Allums,allumda01,1980,103,1980-81,DAL,NBA,PF
Lorenzo Romar,romarlo01,1980,141,1980-81,GSW,NBA,PG
Lorenzo Romar,romarlo01,1980,141,1981-82,GSW,NBA,PG
Lorenzo Romar,romarlo01,1980,141,1982-83,GSW,NBA,PG
Lorenzo Romar,romarlo01,1980,141,1983-84,TOT,NBA,PG
Lorenzo Romar,romarlo01,1980,141,1984-85,TOT,NBA,PG
John Stroeder,stroejo01,1980,168,1987-88,MIL,NBA,PF
John Stroeder,stroejo01,1980,168,1988-89,TOT,NBA,PF
Clarence Kea,keacl01,1980,169,1980-81,DAL,NBA,PF
Clarence Kea,keacl01,1980,169,1981-82,DAL,NBA,PF
Billy Reid,reidbi01,1980,182,1980-81,GSW,NBA,SG
Mark Aguirre,aguirma01,1981,1,1981-82,DAL,NBA,SF
Mark Aguirre,aguirma01,1981,1,1982-83,DAL,NBA,SF
Mark Aguirre,aguirma01,1981,1,1983-84,DAL,NBA,SF
Mark Aguirre,aguirma01,1981,1,1984-85,DAL,NBA,SF
Mark Aguirre,aguirma01,1981,1,1985-86,DAL,NBA,SF
Mark Aguirre,aguirma01,1981,1,1986-87,DAL,NBA,SF
Mark Aguirre,aguirma01,1981,1,1987-88,DAL,NBA,SF
Mark Aguirre,aguirma01,1981,1,1988-89,TOT,NBA,SF
Mark Aguirre,aguirma01,1981,1,1989-90,DET,NBA,SF
Mark Aguirre,aguirma01,1981,1,1990-91,DET,NBA,SF
Mark Aguirre,aguirma01,1981,1,1991-92,DET,NBA,SF
Mark Aguirre,aguirma01,1981,1,1992-93,DET,NBA,SF
Mark Aguirre,aguirma01,1981,1,1993-94,LAC,NBA,SF
Isiah Thomas,thomais01,1981,2,1981-82,DET,NBA,PG
Isiah Thomas,thomais01,1981,2,1982-83,DET,NBA,PG
Isiah Thomas,thomais01,1981,2,1983-84,DET,NBA,PG
Isiah Thomas,thomais01,1981,2,1984-85,DET,NBA,PG
Isiah Thomas,thomais01,1981,2,1985-86,DET,NBA,PG
Isiah Thomas,thomais01,1981,2,1986-87,DET,NBA,PG
Isiah Thomas,thomais01,1981,2,1987-88,DET,NBA,PG
Isiah Thomas,thomais01,1981,2,1988-89,DET,NBA,PG
Isiah Thomas,thomais01,1981,2,1989-90,DET,NBA,PG
Isiah Thomas,thomais01,1981,2,1990-91,DET,NBA,PG
Isiah Thomas,thomais01,1981,2,1991-92,DET,NBA,PG
Isiah Thomas,thomais01,1981,2,1992-93,DET,NBA,PG
Isiah Thomas,thomais01,1981,2,1993-94,DET,NBA,PG
Buck Williams,willibu01,1981,3,1981-82,NJN,NBA,PF
Buck Williams,willibu01,1981,3,1982-83,NJN,NBA,PF
Buck Williams,willibu01,1981,3,1983-84,NJN,NBA,PF
Buck Williams,willibu01,1981,3,1984-85,NJN,NBA,PF
Buck Williams,willibu01,1981,3,1985-86,NJN,NBA,PF
Buck Williams,willibu01,1981,3,1986-87,NJN,NBA,PF
Buck Williams,willibu01,1981,3,1987-88,NJN,NBA,PF
Buck Williams,willibu01,1981,3,1988-89,NJN,NBA,PF
Buck Williams,willibu01,1981,3,1989-90,POR,NBA,PF
Buck Williams,willibu01,1981,3,1990-91,POR,NBA,PF
Buck Williams,willibu01,1981,3,1991-92,POR,NBA,PF
Buck Williams,willibu01,1981,3,1992-93,POR,NBA,PF
Buck Williams,willibu01,1981,3,1993-94,POR,NBA,PF
Buck Williams,willibu01,1981,3,1994-95,POR,NBA,PF
Buck Williams,willibu01,1981,3,1995-96,POR,NBA,PF
Buck Williams,willibu01,1981,3,1996-97,NYK,NBA,PF
Buck Williams,willibu01,1981,3,1997-98,NYK,NBA,PF
Al Wood,woodal01,1981,4,1981-82,TOT,NBA,SG
Al Wood,woodal01,1981,4,1982-83,SDC,NBA,SF
Al Wood,woodal01,1981,4,1983-84,SEA,NBA,SG
Al Wood,woodal01,1981,4,1984-85,SEA,NBA,SG
Al Wood,woodal01,1981,4,1985-86,SEA,NBA,SG
Al Wood,woodal01,1981,4,1986-87,DAL,NBA,SG
Danny Vranes,vraneda01,1981,5,1981-82,SEA,NBA,SF
Danny Vranes,vraneda01,1981,5,1982-83,SEA,NBA,SF
Danny Vranes,vraneda01,1981,5,1983-84,SEA,NBA,SF
Danny Vranes,vraneda01,1981,5,1984-85,SEA,NBA,SF
Danny Vranes,vraneda01,1981,5,1985-86,SEA,NBA,SF
Danny Vranes,vraneda01,1981,5,1986-87,PHI,NBA,SF
Danny Vranes,vraneda01,1981,5,1987-88,PHI,NBA,SF
Orlando Woolridge,woolror01,1981,6,1981-82,CHI,NBA,SF
Orlando Woolridge,woolror01,1981,6,1982-83,CHI,NBA,SF
