name,slug,draft_year,draft_pick,season,team_id,lg_id,pos
Jose Slaughter,slaugjo01,1982,43,1982-83,IND,NBA,SG
Mike Gibson,gibsomi01,1982,44,1983-84,WSB,NBA,PF
Russ Schoene,schoeru01,1982,45,1982-83,TOT,NBA,PF
Michael Wilson,wilsomi01,1982,47,1983-84,WSB,NBA,PG
Craig Hodges,hodgecr01,1982,48,1982-83,SDC,NBA,SG
Corny Thompson,thompco01,1982,50,1982-83,DAL,NBA,PF
Jim Johnstone,johnsji01,1982,51,1982-83,TOT,NBA,PF-C
Jerry Eaves,eavesje01,1982,55,1982-83,UTA,NBA,PG
Joe Kopicki,kopicjo01,1982,56,1982-83,WSB,NBA,PF
Chris Engler,englech01,1982,60,1982-83,GSW,NBA,C
Charles Pittman,pittmch01,1982,61,1982-83,PHO,NBA,PF
Chuck Nevitt,nevitch01,1982,63,1982-83,HOU,NBA,C
John Greig,greigjo01,1982,65,1982-83,SEA,NBA,SF
Perry Moss,mosspe01,1982,69,1985-86,TOT,NBA,PG
Mark Eaton,eatonma01,1982,72,1982-83,UTA,NBA,C
Mike Sanders,sandemi01,1982,74,1982-83,SAS,NBA,SF
Chuck Aleksinas,aleksch01,1982,76,1984-85,GSW,NBA,C
Walker Russell,russewa01,1982,78,1982-83,DET,NBA,PG
Tony Brown,brownto01,1982,82,1984-85,IND,NBA,SF
Rory White,whitero01,1982,86,1982-83,PHO,NBA,SF
John Schweitz,schwejo01,1982,138,1984-85,SEA,NBA,SG
Eddie Hughes,hugheed01,1982,140,1987-88,UTA,NBA,PG
Ed Nealy,nealyed01,1982,166,1982-83,KCK,NBA,PF
Dale Wilkinson,wilkida01,1982,221,1984-85,TOT,NBA,SF-PF
Ralph Sampson,sampsra01,1983,1,1983-84,HOU,NBA,C
Steve Stipanovich,stipast01,1983,2,1983-84,IND,NBA,C
Rodney McCray,mccraro01,1983,3,1983-84,HOU,NBA,SF
Byron Scott,scottby01,1983,4,1983-84,LAL,NBA,SG
Sidney Green,greensi02,1983,5,1983-84,CHI,NBA,PF
Russell Cross,crossru01,1983,6,1983-84,GSW,NBA,C
Thurl Bailey,baileth01,1983,7,1983-84,UTA,NBA,PF
Antoine Carr,carran01,1983,8,1984-85,ATL,NBA,PF
Dale Ellis,ellisda01,1983,9,1983-84,DAL,NBA,SF
Jeff Malone,malonje01,1983,10,1983-84,WSB,NBA,SG
Derek Harper,harpede01,1983,11,1983-84,DAL,NBA,PG
Darrell Walker,walkeda01,1983,12,1983-84,NYK,NBA,PG
Ennis Whatley,whatlen01,1983,13,1983-84,CHI,NBA,PG
Clyde Drexler,drexlcl01,1983,14,1983-84,POR,NBA,SG
Howard Carter,carteho01,1983,15,1983-84,DEN,NBA,SG
Jon Sundvold,sundvjo01,1983,16,1983-84,SEA,NBA,PG
Leo Rautins,rautile01,1983,17,1983-84,PHI,NBA,SF
Randy Breuer,breuera01,1983,18,1983-84,MIL,NBA,C
John Paxson,paxsojo01,1983,19,1983-84,SAS,NBA,PG
Roy Hinson,hinsoro01,1983,20,1983-84,CLE,NBA,SF
Greg Kite,kitegr01,1983,21,1983-84,BOS,NBA,C
Randy Wittman,wittmra01,1983,22,1983-84,ATL,NBA,SG
Mitchell Wiggins,wiggimi01,1983,23,1983-84,CHI,NBA,SG
Stewart Granger,grangst01,1983,24,1983-84,CLE,NBA,PG
Sidney Lowe,lowesi01,1983,25,1983-84,IND,NBA,PG
Leroy Combs,combsle01,1983,26,1983-84,IND,NBA,SF
John Garris,garrijo01,1983,27,1983-84,CLE,NBA,PF
Rod Foster,fostero01,1983,28,1983-84,PHO,NBA,PG
Larry Micheaux,michela01,1983,29,1983-84,KCK,NBA,PF
Mark West,westma01,1983,30,1983-84,DAL,NBA,C
Doc Rivers,riverdo01,1983,31,1983-84,ATL,NBA,PG
Dirk Minniefield,minnidi01,1983,33,1985-86,CLE,NBA,PG
Guy Williams,willigu02,1983,34,1984-85,WSB,NBA,SF
Darrell Lockhart,lockhda01,1983,35,1983-84,SAS,NBA,C
Scooter McCray,mccrasc01,1983,36,1983-84,SEA,NBA,PF
Chris McNealy,mcneach01,1983,38,1985-86,NYK,NBA,PF
Granville Waiters,waitegr01,1983,39,1983-84,IND,NBA,C
Jim Thomas,thomaji01,1983,40,1983-84,IND,NBA,SG
Pace Mannion,mannipa01,1983,43,1983-84,GSW,NBA,SF
Kevin Williams,willike01,1983,46,1983-84,SAS,NBA,SG
Craig Ehlo,ehlocr01,1983,48,1983-84,HOU,NBA,SG
Paul Thompson,thomppa01,1983,50,1983-84,CLE,NBA,SF
Mike Holton,holtomi01,1983,53,1984-85,PHO,NBA,SG
Bob Hansen,hansebo01,1983,54,1983-84,UTA,NBA,SG
Darren Daye,dayeda01,1983,57,1983-84,WSB,NBA,SF
John Pinone,pinonjo01,1983,58,1983-84,ATL,NBA,SF
Bruce Kuczenski,kuczebr01,1983,59,1983-84,TOT,NBA,PF
Tom Piotrowski,piotrto01,1983,62,1983-84,POR,NBA,C
Ron Crevier,creviro01,1983,75,1985-86,TOT,NBA,C
Peter Thibeaux,thibepe01,1983,77,1984-85,GSW,NBA,SF
Mark Jones,jonesma02,1983,82,1983-84,NJN,NBA,PG
Brant Weidner,weidnbr01,1983,90,1983-84,SAS,NBA,PF
Carlos Clark,clarkca01,1983,91,1983-84,BOS,NBA,SG
Manute Bol,bolma01,1983,97,1985-86,WSB,NBA,C
Ken Austin,austike01,1983,101,1983-84,DET,NBA,SF
Jim Lampley,lamplji01,1983,102,1986-87,PHI,NBA,C
Sedale Threatt,threase01,1983,139,1983-84,PHI,NBA,PG
Dane Suttle,suttlda01,1983,152,1983-84,KCK,NBA,SG
Hakeem Olajuwon,olajuha01,1984,1,1984-85,HOU,NBA,C
Sam Bowie,bowiesa01,1984,2,1984-85,POR,NBA,C
Michael Jordan,jordami01,1984,3,1984-85,CHI,NBA,SG
Sam Perkins,perkisa01,1984,4,1984-85,DAL,NBA,PF
Charles Barkley,barklch01,1984,5,1984-85,PHI,NBA,PF
Melvin Turpin,turpime01,1984,6,1984-85,CLE,NBA,C
Alvin Robertson,roberal01,1984,7,1984-85,SAS,NBA,SG
Lancaster Gordon,gordola01,1984,8,1984-85,LAC,NBA,SG
Otis Thorpe,thorpot01,1984,9,1984-85,KCK,NBA,PF
Leon Wood,woodle01,1984,10,1984-85,PHI,NBA,PG
Kevin Willis,willike02,1984,11,1984-85,ATL,NBA,PF
Tim McCormick,mccorti01,1984,12,1984-85,SEA,NBA,C
Jay Humphries,humphja01,1984,13,1984-85,PHO,NBA,SG
Michael Cage,cagemi01,1984,14,1984-85,LAC,NBA,PF
Terence Stansbury,stanste01,1984,15,1984-85,IND,NBA,SG
John Stockton,stockjo01,1984,16,1984-85,UTA,NBA,PG
Jeff Turner,turneje01,1984,17,1984-85,NJN,NBA,PF
