name,slug,college_slug,draft_year,draft_pick,season,school_name,conf_abbr,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos
Mike Woodson,woodsmi01,mike-woodson-1,1980,12,1978-79,Indiana,Big Ten,34,33,36.0,7.8,15.6,.498,,,,,,,5.4,7.1,.763,,,5.7,2.9,1.6,0.4,3.5,2.9,21.0,,8.77
Mike Woodson,woodsmi01,mike-woodson-1,1980,12,1979-80,Indiana,Big Ten,14,14,35.0,7.3,16.1,.453,,,,,,,4.7,5.6,.835,,,3.5,2.6,1.1,0.6,2.4,2.3,19.3,,11.25
Rickey Brown,brownri01,rickey-brown-1,1980,13,1976-77,Mississippi State,SEC,27,,30.5,8.3,16.4,.508,,,,,,,2.6,3.6,.722,,,10.8,0.5,,,,4.2,19.3,,8.21
Rickey Brown,brownri01,rickey-brown-1,1980,13,1977-78,Mississippi State,SEC,26,,29.1,5.4,11.7,.461,,,,,,,2.7,3.8,.690,,,6.9,1.3,,,,3.7,13.4,,6.01
Rickey Brown,brownri01,rickey-brown-1,1980,13,1978-79,Mississippi State,SEC,27,,31.2,6.6,13.7,.481,,,,,,,2.2,3.3,.682,,,8.6,0.8,,,,3.4,15.4,,6.41
Rickey Brown,brownri01,rickey-brown-1,1980,13,1979-80,Mississippi State,SEC,27,,35.7,8.6,17.4,.490,,,,,,,3.4,5.0,.669,,,14.4,1.2,,,,,20.5,,6.28
Wes Matthews,matthwe01,wes-matthews-1,1980,14,1977-78,Wisconsin,Big Ten,14,,29.1,5.9,14.1,.421,,,,,,,2.6,3.7,.712,,,3.4,,,,,,14.5,,6.65
Wes Matthews,matthwe01,wes-matthews-1,1980,14,1978-79,Wisconsin,Big Ten,27,,36.5,7.2,15.4,.468,,,,,,,4.0,5.1,.784,,,2.6,,,,,,18.5,,9.23
Wes Matthews,matthwe01,wes-matthews-1,1980,14,1979-80,Wisconsin,Big Ten,28,,34.1,7.5,14.7,.512,,,,,,,4.5,5.1,.888,,,2.6,,,,,,19.6,,9.80
Reggie Johnson,johnsre01,reggie-johnson-1,1980,15,1976-77,Tennessee,SEC,28,,,4.7,7.3,.645,,,,,,,1.6,2.2,.754,,,8.1,0.6,,,,3.8,11.0,,8.03
Reggie Johnson,johnsre01,reggie-johnson-1,1980,15,1977-78,Tennessee,SEC,27,,,8.5,15.1,.560,,,,,,,4.3,6.1,.693,,,9.6,1.3,0.4,1.8,3.0,3.6,21.2,,4.98
Reggie Johnson,johnsre01,reggie-johnson-1,1980,15,1978-79,Tennessee,SEC,33,,31.9,8.7,14.8,.587,,,,,,,3.8,5.2,.741,,,7.7,0.8,0.8,1.2,2.3,3.8,21.2,,6.15
Reggie Johnson,johnsre01,reggie-johnson-1,1980,15,1979-80,Tennessee,SEC,27,27,31.5,8.1,14.4,.559,,,,,,,3.3,4.3,.759,,,6.7,1.1,0.9,1.1,2.1,3.1,19.4,,7.75
